class name,field name 1,value,field name 2,value 2,field name 3,value 3,field name 4,value 4,field name 5,value 5,field name 6,value 6,field name 7,value 7
DC_chronological_system,cs_name,Anatolia,period_name,Pre-Pottery Neolithic A,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Pre-Pottery Neolithic B,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Pre-Pottery Neolithic C,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Early Neolithic,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Middle Neolithic,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Late Neolithic,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Early Chalcolithic,start_date1_BC,6000,start_date2_BC,6000,end_date1_BC,5500,end_date2_BC,5500,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Middle Chalcolithic,start_date1_BC,5500,start_date2_BC,5500,end_date1_BC,4250,end_date2_BC,4250,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Late Chalcolithic (4250-4000),start_date1_BC,4250,start_date2_BC,4250,end_date1_BC,4000,end_date2_BC,4000,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Late Chalcolithic (4000-3500),start_date1_BC,4000,start_date2_BC,4000,end_date1_BC,3500,end_date2_BC,3500,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Late Chalcolithic (3500-3000),start_date1_BC,3500,start_date2_BC,3500,end_date1_BC,3000,end_date2_BC,3000,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Early Bronze Age 1,start_date1_BC,3000,start_date2_BC,3000,end_date1_BC,2750,end_date2_BC,2750,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Early Bronze Age 2,start_date1_BC,2750,start_date2_BC,2750,end_date1_BC,2500,end_date2_BC,2500,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,Anatolia,period_name,Early Bronze Age 3,start_date1_BC,2500,start_date2_BC,2500,end_date1_BC,2000,end_date2_BC,2000,region,Turkish Thrace/Western Anatolia/Southeastern Anatolia/Eastern Anatolia/Central Anatolia/Eastern Aegean
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Aceramic Neolithic (?),start_date1_BC,7000,start_date2_BC,7000,end_date1_BC,6500,end_date2_BC,6500,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Early Neolithic,start_date1_BC,6500,start_date2_BC,6500,end_date1_BC,5800,end_date2_BC,5800,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Middle Neolithic,start_date1_BC,5800,start_date2_BC,5800,end_date1_BC,5400,end_date2_BC,5400,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Late Neolithic (Early),start_date1_BC,5400,start_date2_BC,5400,end_date1_BC,4900,end_date2_BC,4900,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Late Neolithic (Late),start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,4500,end_date2_BC,4300,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Chalcolithic/Final Neolithic,start_date1_BC,4500,start_date2_BC,4300,end_date1_BC,3700,end_date2_BC,3700,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Chalcolithic/Final Neolithic (Late),start_date1_BC,3700,start_date2_BC,3700,end_date1_BC,3300,end_date2_BC,3300,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern 1996",period_name,Early Helladic I,start_date1_BC,3300,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,"Early Helladic I (Eutresis III, Perachora X)",start_date1_BC,3100,start_date2_BC,3340,end_date1_BC,2900,end_date2_BC,2920,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,"Early Helladic I Late (Eutresis IV, Talioti)",start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Helladic IIa (Lerna III A-B),start_date1_BC,2700,start_date2_BC,2650,end_date1_BC,2500,end_date2_BC,2450,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Helladic IIb (Lerna III C-D),start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Helladic III (Lerna IV),start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Peloponnese/Central Greece/Epirus - Northwestern Greece/Ionian Islands/Western Greece/Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,"Early Cycladic I (Pelos Group, Plastiras Group)",start_date1_BC,3100,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic I Late (Kampos Group),start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic IIa (Keros-Syros Group),start_date1_BC,2700,start_date2_BC,2650,end_date1_BC,2500,end_date2_BC,2450,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic IIb (Kastri Group),start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Cyclades
DC_chronological_system,cs_name,"Central and Southern Greece, Cyclades/Alram-Stern (2004)",period_name,Early Cycladic III (Phylakopi I),start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Cyclades
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Early Neolithic: 'Protosesklo',start_date1_BC,6500,start_date2_BC,6500,end_date1_BC,5800,end_date2_BC,5800,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Middle Neolithic: 'Sesklo',start_date1_BC,5800,start_date2_BC,5800,end_date1_BC,5400,end_date2_BC,5400,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,"Late Neolithic: Tsangli, Arapi",start_date1_BC,5400,start_date2_BC,5400,end_date1_BC,4900,end_date2_BC,4900,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Late Neolithic: Dimini,start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,4500,end_date2_BC,4300,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,"Chalcolithic/Final Neolithic, Rachmani",start_date1_BC,4500,start_date2_BC,4300,end_date1_BC,3700,end_date2_BC,3700,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Chalcolithic/Final Neolithic (Late),start_date1_BC,3700,start_date2_BC,3700,end_date1_BC,3300,end_date2_BC,3300,region,Thessaly
DC_chronological_system,cs_name,"Thessaly/K. Gallis, Papathanassopoulous 1996 (Fig. 3)",period_name,Early Bronze Age,start_date1_BC,3300,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,Early Thessalian I (Petromagula-Phase),start_date1_BC,3100,start_date2_BC,3100,end_date1_BC,2900,end_date2_BC,2900,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian I Late (Argissa I, Pevkakia 1-3)",start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian IIa=Early Helladic IIa (Argissa II, Pevkakia 4-7 Early)",start_date1_BC,2700,start_date2_BC,2700,end_date1_BC,2500,end_date2_BC,2450,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Early Thessalian IIb=Early Helladic IIb (Argissa III, Pevkakia 7 Middle-late)",start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Thessaly
DC_chronological_system,cs_name,Thessaly/Alram-Stern 2004,period_name,"Middle Thessalian I=Early Helladic III (Argissa MTh Building phases 1-3, Pevkakia Middle Thessalian Phases 1-3)",start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Thessaly
DC_chronological_system,cs_name,"Macedonia, Thrace",period_name,Late Neolithic,start_date1_BC,5800,start_date2_BC,5800,end_date1_BC,4900,end_date2_BC,4900,region,Western Macedonia/Central Macedonia/Eastern Macedonia/Thrace
DC_chronological_system,cs_name,"Macedonia, Thrace",period_name,Chalcolithic,start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,3300,end_date2_BC,3300,region,Western Macedonia/Central Macedonia/Eastern Macedonia/Thrace
DC_chronological_system,cs_name,"Macedonia, Thrace",period_name,Early Bronze Age,start_date1_BC,3300,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Western Macedonia/Central Macedonia/Eastern Macedonia/Thrace
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Brone Age I (Sitagroi IV, Dikili Tash IIIA, Pentapolis I)",start_date1_BC,3500,start_date2_BC,3500,end_date1_BC,3100,end_date2_BC,3100,region,Eastern Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Bronze Age I/II (Sitagroi Va, Dikili Tash IIIB)",start_date1_BC,3100,start_date2_BC,3100,end_date1_BC,2700,end_date2_BC,2700,region,Eastern Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,Early Bronze Age II Late (Sitagroi Vb),start_date1_BC,2700,start_date2_BC,2700,end_date1_BC,2200,end_date2_BC,2200,region,Eastern Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,Early Bronze Age III (Pentapolis II),start_date1_BC,2200,start_date2_BC,2200,end_date1_BC,2000,end_date2_BC,2000,region,Eastern Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Bronze Age I (Servia Phase 8, Mandalo III, Armenochori VII)",start_date1_BC,3000,start_date2_BC,2950,end_date1_BC,2500,end_date2_BC,2500,region,Western Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Bronze Age II Late-Early Helladic III (Servia Phases 9, 10)",start_date1_BC,3000,start_date2_BC,2500,end_date1_BC,2200,end_date2_BC,2200,region,Western Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,Early Bronze Age III-Middle Helladic (Archontiko),start_date1_BC,2100,start_date2_BC,2300,end_date1_BC,2030,end_date2_BC,1900,region,Western Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,Early Bronze Age I (Kritsana I/II),start_date1_BC,3000,start_date2_BC,3000,end_date1_BC,2700,end_date2_BC,2700,region,Central Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Bronze Age II (Kritsana III-V, Kastanas 28-24)",start_date1_BC,2700,start_date2_BC,2700,end_date1_BC,2200,end_date2_BC,2150,region,Central Macedonia
DC_chronological_system,cs_name,Macedonia/Alram-Stern 2004,period_name,"Early Bronze Age III (Kritsana V, VI, Kastanas 22b)",start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Central Macedonia
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Aceramic Neolithic ,start_date1_BC,7000,start_date2_BC,7000,end_date1_BC,6500,end_date2_BC,6500,region,Crete
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Early Neolithic I,start_date1_BC,6500,start_date2_BC,6500,end_date1_BC,4900,end_date2_BC,4900,region,Crete
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Early Neolithic II ,start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,4500,end_date2_BC,4300,region,Crete
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Middle Neolithic,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Crete
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Late Neolithic,start_date1_BC,4500,start_date2_BC,4300,end_date1_BC,3700,end_date2_BC,3700,region,Crete
DC_chronological_system,cs_name,"Crete/Evans, Vagnetti",period_name,Final Neolithic,start_date1_BC,3700,start_date2_BC,3700,end_date1_BC,2900,end_date2_BC,2900,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Initial Neolithic,start_date1_BC,7000,start_date2_BC,7000,end_date1_BC,6500,end_date2_BC,6500,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Early Neolithic,start_date1_BC,6500,start_date2_BC,6500,end_date1_BC,5800,end_date2_BC,5800,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Middle Neolithic,start_date1_BC,5800,start_date2_BC,5800,end_date1_BC,5400,end_date2_BC,5400,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Late Neolithic I,start_date1_BC,5400,start_date2_BC,5400,end_date1_BC,4900,end_date2_BC,4900,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Late Neolithic II,start_date1_BC,4900,start_date2_BC,4900,end_date1_BC,4500,end_date2_BC,4300,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Final Neolithic IA,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Final Neolithic II,start_date1_BC,4500,start_date2_BC,4300,end_date1_BC,3700,end_date2_BC,3700,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Final Neolithic IB,start_date1_BC,,start_date2_BC,,end_date1_BC,,end_date2_BC,,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Final Neolithic III,start_date1_BC,3700,start_date2_BC,3700,end_date1_BC,3300,end_date2_BC,3300,region,Crete
DC_chronological_system,cs_name,Crete/Tomkins 2007a,period_name,Final Neolithic IV,start_date1_BC,3300,start_date2_BC,3300,end_date1_BC,2900,end_date2_BC,2900,region,Crete
DC_chronological_system,cs_name,Crete/Alram (unpubl.),period_name,Early Minoan Ia,start_date1_BC,3100,start_date2_BC,3100,end_date1_BC,2900,end_date2_BC,2900,region,Crete
DC_chronological_system,cs_name,Crete/Alram (unpubl.),period_name,Early Minoan Ib,start_date1_BC,2900,start_date2_BC,2900,end_date1_BC,2700,end_date2_BC,2700,region,Crete
DC_chronological_system,cs_name,Crete/Alram (unpubl.),period_name,Early Minoan IIa,start_date1_BC,2700,start_date2_BC,2700,end_date1_BC,2500,end_date2_BC,2450,region,Crete
DC_chronological_system,cs_name,Crete/Alram (unpubl.),period_name,Early Minoan IIb,start_date1_BC,2500,start_date2_BC,2450,end_date1_BC,2200,end_date2_BC,2150,region,Crete
DC_chronological_system,cs_name,Crete/Alram (unpubl.),period_name,Early Minoan III,start_date1_BC,2200,start_date2_BC,2150,end_date1_BC,2000,end_date2_BC,2000,region,Crete
